ProductName,Price,Rating,Features
Samsung Galaxy A10s (Black, 32 GB),₹8,980,4.4,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 8MP Front Camera4000 mAh Lithium-ion BatteryMediaTek MT6762 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Guru Music 2,₹1,849,4.3,NA ROM |5.08 cm (2 inch) NA Display800 mAh Battery0 0 0 208MHz Processor1 Year Manufacturer Warranty
Samsung Guru Music 2,₹1,849,4.3,NA ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP Front Camera800 mAh Li-Ion BatteryNA 0 Single Core 208MHz Processor1 Year Manufacturer Warranty
Samsung Metro 313 Dual Sim,₹2,340,4.3,10 MB RAM | 2 MB ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0.3MP Rear Camera1000 mAh Battery0 0 0 0 Processor Processor1 Year Manufacturer Warranty
Samsung Galaxy A50 (Black, 64 GB),₹15,899,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display25MP + 5MP + 8MP | 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Metro 313 Dual Sim,₹2,340,4.2,4 MB RAM | 2.27 MB ROM | Expandable Upto 16 GB5.16 cm (2.03 inch) QVGA Display0.3MP Rear Camera1000 mAh BatteryNA Processor1 Year on Tablet, 6 Months on Accessories
Samsung Galaxy M40 (Seawater Blue, 128 GB),₹19,999,4.2,6 GB RAM | 128 GB ROM |16.0 cm (6.3 inch) Display32MP Rear Camera3500 mAh Battery1 Year Warranty
Samsung Metro 313 Dual Sim,₹2,340,4.2,16 MB RAM | 2 MB ROM |5.08 cm (2 inch) Display0.3MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty
Samsung Guru FM Plus SM-B110E/D,₹1,662,4.3,NA ROM |3.81 cm (1.5 inch) Display800 mAh Battery1 year warranty on handset and 6 months warranty on the accessories.
Samsung Galaxy A50 (Blue, 64 GB),₹15,899,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display25MP + 5MP + 8MP | 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
